wlan0_LBS1_SIG_Q, wlan0_LBS1_SIG_L, wlan0_LBS1_NOISE_L, wlan0_LBS2_SIG_Q, wlan0_LBS2_SIG_L, wlan0_LBS2_NOISE_L, wlan0_LBS3_SIG_Q, wlan0_LBS3_SIG_L, wlan0_LBS3_NOISE_L, wlan0_LBS4_SIG_Q, wlan0_LBS4_SIG_L, wlan0_LBS4_NOISE_L, wlan0_NTU@1_SIG_Q, wlan0_NTU@1_SIG_L, wlan0_NTU@1_NOISE_L, wlan0_NTU@2_SIG_Q, wlan0_NTU@2_SIG_L, wlan0_NTU@2_NOISE_L, wlan0_NTU@3_SIG_Q, wlan0_NTU@3_SIG_L, wlan0_NTU@3_NOISE_L, wlan0_NTU@4_SIG_Q, wlan0_NTU@4_SIG_L, wlan0_NTU@4_NOISE_L, wlan0_ntu_peap@1_SIG_Q, wlan0_ntu_peap@1_SIG_L, wlan0_ntu_peap@1_NOISE_L, wlan0_ntu_peap@2_SIG_Q, wlan0_ntu_peap@2_SIG_L, wlan0_ntu_peap@2_NOISE_L, wlan0_ntu_peap@3_SIG_Q, wlan0_ntu_peap@3_SIG_L, wlan0_ntu_peap@3_NOISE_L, wlan0_eduroam@1_SIG_Q, wlan0_eduroam@1_SIG_L, wlan0_eduroam@1_NOISE_L, wlan0_eduroam@2_SIG_Q, wlan0_eduroam@2_SIG_L, wlan0_eduroam@2_NOISE_L, wlan0_eduroam@3_SIG_Q, wlan0_eduroam@3_SIG_L, wlan0_eduroam@3_NOISE_L, wlan0_MD402_1_SIG_Q, wlan0_MD402_1_SIG_L, wlan0_MD402_1_NOISE_L, wlan0_MD402-2_SIG_Q, wlan0_MD402-2_SIG_L, wlan0_MD402-2_NOISE_L, wlan0_NTUMOOC_SIG_Q, wlan0_NTUMOOC_SIG_L, wlan0_NTUMOOC_NOISE_L, wlan0_eslab-Dlink652_SIG_Q, wlan0_eslab-Dlink652_SIG_L, wlan0_eslab-Dlink652_NOISE_L, wlan0_DIRECT-32-HP M377 LaserJet_SIG_Q, wlan0_DIRECT-32-HP M377 LaserJet_SIG_L, wlan0_DIRECT-32-HP M377 LaserJet_NOISE_L, ra0_LBS1_SIG_Q, ra0_LBS1_SIG_L, ra0_LBS1_NOISE_L, ra0_LBS2_SIG_Q, ra0_LBS2_SIG_L, ra0_LBS2_NOISE_L, ra0_LBS3_SIG_Q, ra0_LBS3_SIG_L, ra0_LBS3_NOISE_L, ra0_LBS4_SIG_Q, ra0_LBS4_SIG_L, ra0_LBS4_NOISE_L, ra0_NTU@1_SIG_Q, ra0_NTU@1_SIG_L, ra0_NTU@1_NOISE_L, ra0_NTU@2_SIG_Q, ra0_NTU@2_SIG_L, ra0_NTU@2_NOISE_L, ra0_NTU@3_SIG_Q, ra0_NTU@3_SIG_L, ra0_NTU@3_NOISE_L, ra0_NTU@4_SIG_Q, ra0_NTU@4_SIG_L, ra0_NTU@4_NOISE_L, ra0_ntu_peap@1_SIG_Q, ra0_ntu_peap@1_SIG_L, ra0_ntu_peap@1_NOISE_L, ra0_ntu_peap@2_SIG_Q, ra0_ntu_peap@2_SIG_L, ra0_ntu_peap@2_NOISE_L, ra0_ntu_peap@3_SIG_Q, ra0_ntu_peap@3_SIG_L, ra0_ntu_peap@3_NOISE_L, ra0_eduroam@1_SIG_Q, ra0_eduroam@1_SIG_L, ra0_eduroam@1_NOISE_L, ra0_eduroam@2_SIG_Q, ra0_eduroam@2_SIG_L, ra0_eduroam@2_NOISE_L, ra0_eduroam@3_SIG_Q, ra0_eduroam@3_SIG_L, ra0_eduroam@3_NOISE_L, ra0_MD402_1_SIG_Q, ra0_MD402_1_SIG_L, ra0_MD402_1_NOISE_L, ra0_MD402-2_SIG_Q, ra0_MD402-2_SIG_L, ra0_MD402-2_NOISE_L, ra0_NTUMOOC_SIG_Q, ra0_NTUMOOC_SIG_L, ra0_NTUMOOC_NOISE_L, ra0_eslab-Dlink652_SIG_Q, ra0_eslab-Dlink652_SIG_L, ra0_eslab-Dlink652_NOISE_L, ra0_DIRECT-32-HP M377 LaserJet_SIG_Q, ra0_DIRECT-32-HP M377 LaserJet_SIG_L, ra0_DIRECT-32-HP M377 LaserJet_NOISE_L, X, Y, Z, timestamp
46.0, -64.0, 0.0, 55.0, -55.0, 0.0, 70.0, -40.0, 0.0, 56.0, -54.0, 0.0, 30.0, -80.0, 0.0, 34.0, -76.0, 0.0, 33.0, -77.0, 0.0, 44.0, -66.0, 0.0, 33.0, -77.0, 0.0, 35.0, -75.0, 0.0, 47.0, -63.0, 0.0, 42.0, -68.0, 0.0, 0.0, 0.0, 0.0, 37.0, -73.0, 0.0, 62.0, -48.0, 0.0, 55.0, -55.0, 0.0, 41.0, -69.0, 0.0, 49.0, -61.0, 0.0, 30.0, -80.0, 0.0, 60.0, -66.0, -92.0, 100.0, -48.0, -92.0, 100.0, -36.0, -92.0, 100.0, -50.0, -92.0, 37.0, -75.0, -70.0, 31.0, -77.0, -72.0, 44.0, -72.0, -67.0, 91.0, -54.0, -92.0, 39.0, -74.0, -69.0, 47.0, -71.0, -66.0, 86.0, -56.0, -92.0, 89.0, -55.0, -92.0, 37.0, -75.0, -70.0, 42.0, -73.0, -68.0, 100.0, -42.0, -92.0, 100.0, -42.0, -92.0, 81.0, -58.0, -92.0, 60.0, -66.0, -92.0, 73.0, -61.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:37
49.0, -61.0, 0.0, 53.0, -57.0, 0.0, 68.0, -42.0, 0.0, 56.0, -54.0, 0.0, 30.0, -80.0, 0.0, 34.0, -76.0, 0.0, 38.0, -72.0, 0.0, 46.0, -64.0, 0.0, 33.0, -77.0, 0.0, 39.0, -71.0, 0.0, 45.0, -65.0, 0.0, 47.0, -63.0, 0.0, 0.0, 0.0, 0.0, 38.0, -72.0, 0.0, 62.0, -48.0, 0.0, 53.0, -57.0, 0.0, 38.0, -72.0, 0.0, 48.0, -62.0, 0.0, 33.0, -77.0, 0.0, 68.0, -63.0, -92.0, 100.0, -46.0, -92.0, 100.0, -36.0, -92.0, 99.0, -51.0, -92.0, 68.0, -63.0, -92.0, 31.0, -77.0, -72.0, 63.0, -65.0, -92.0, 94.0, -53.0, -92.0, 70.0, -62.0, -92.0, 60.0, -66.0, -92.0, 89.0, -55.0, -92.0, 91.0, -54.0, -92.0, 31.0, -77.0, -72.0, 60.0, -66.0, -92.0, 100.0, -42.0, -92.0, 100.0, -41.0, -92.0, 76.0, -60.0, -92.0, 65.0, -64.0, -92.0, 73.0, -61.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:39
47.0, -63.0, 0.0, 53.0, -57.0, 0.0, 67.0, -43.0, 0.0, 57.0, -53.0, 0.0, 37.0, -73.0, 0.0, 23.0, -87.0, 0.0, 39.0, -71.0, 0.0, 46.0, -64.0, 0.0, 35.0, -75.0, 0.0, 40.0, -70.0, 0.0, 42.0, -68.0, 0.0, 43.0, -67.0, 0.0, 0.0, 0.0, 0.0, 38.0, -72.0, 0.0, 62.0, -48.0, 0.0, 53.0, -57.0, 0.0, 38.0, -72.0, 0.0, 49.0, -61.0, 0.0, 33.0, -77.0, 0.0, 81.0, -58.0, -92.0, 100.0, -46.0, -92.0, 100.0, -36.0, -92.0, 100.0, -49.0, -92.0, 73.0, -61.0, -92.0, 42.0, -73.0, -68.0, 42.0, -73.0, -68.0, 94.0, -53.0, -92.0, 70.0, -62.0, -92.0, 42.0, -73.0, -68.0, 94.0, -53.0, -92.0, 91.0, -54.0, -92.0, 31.0, -77.0, -72.0, 39.0, -74.0, -69.0, 100.0, -42.0, -92.0, 100.0, -45.0, -92.0, 78.0, -59.0, -92.0, 65.0, -64.0, -92.0, 73.0, -61.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:41
45.0, -65.0, 0.0, 52.0, -58.0, 0.0, 69.0, -41.0, 0.0, 58.0, -52.0, 0.0, 37.0, -73.0, 0.0, 23.0, -87.0, 0.0, 37.0, -73.0, 0.0, 45.0, -65.0, 0.0, 36.0, -74.0, 0.0, 37.0, -73.0, 0.0, 46.0, -64.0, 0.0, 36.0, -74.0, 0.0, 0.0, 0.0, 0.0, 37.0, -73.0, 0.0, 60.0, -50.0, 0.0, 55.0, -55.0, 0.0, 40.0, -70.0, 0.0, 50.0, -60.0, 0.0, 35.0, -75.0, 0.0, 73.0, -61.0, -92.0, 100.0, -46.0, -92.0, 100.0, -36.0, -92.0, 100.0, -49.0, -92.0, 76.0, -60.0, -92.0, 37.0, -75.0, -70.0, 50.0, -70.0, -92.0, 89.0, -55.0, -92.0, 34.0, -76.0, -71.0, 60.0, -66.0, -92.0, 89.0, -55.0, -92.0, 91.0, -54.0, -92.0, 37.0, -75.0, -70.0, 57.0, -67.0, -92.0, 100.0, -42.0, -92.0, 100.0, -43.0, -92.0, 81.0, -58.0, -92.0, 65.0, -64.0, -92.0, 78.0, -59.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:43
46.0, -64.0, 0.0, 52.0, -58.0, 0.0, 68.0, -42.0, 0.0, 60.0, -50.0, 0.0, 32.0, -78.0, 0.0, 22.0, -88.0, 0.0, 33.0, -77.0, 0.0, 47.0, -63.0, 0.0, 33.0, -77.0, 0.0, 38.0, -72.0, 0.0, 47.0, -63.0, 0.0, 49.0, -61.0, 0.0, 0.0, 0.0, 0.0, 37.0, -73.0, 0.0, 59.0, -51.0, 0.0, 40.0, -70.0, 0.0, 41.0, -69.0, 0.0, 48.0, -62.0, 0.0, 36.0, -74.0, 0.0, 73.0, -61.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 100.0, -49.0, -92.0, 68.0, -63.0, -92.0, 37.0, -75.0, -70.0, 57.0, -67.0, -92.0, 91.0, -54.0, -92.0, 68.0, -63.0, -92.0, 42.0, -73.0, -68.0, 89.0, -55.0, -92.0, 96.0, -52.0, -92.0, 37.0, -75.0, -70.0, 42.0, -73.0, -68.0, 100.0, -42.0, -92.0, 100.0, -43.0, -92.0, 81.0, -58.0, -92.0, 65.0, -64.0, -92.0, 65.0, -64.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:45
41.0, -69.0, 0.0, 52.0, -58.0, 0.0, 66.0, -44.0, 0.0, 57.0, -53.0, 0.0, 37.0, -73.0, 0.0, 22.0, -88.0, 0.0, 33.0, -77.0, 0.0, 43.0, -67.0, 0.0, 33.0, -77.0, 0.0, 34.0, -76.0, 0.0, 41.0, -69.0, 0.0, 43.0, -67.0, 0.0, 0.0, 0.0, 0.0, 36.0, -74.0, 0.0, 61.0, -49.0, 0.0, 40.0, -70.0, 0.0, 41.0, -69.0, 0.0, 48.0, -62.0, 0.0, 36.0, -74.0, 0.0, 65.0, -64.0, -92.0, 100.0, -48.0, -92.0, 100.0, -36.0, -92.0, 99.0, -51.0, -92.0, 34.0, -76.0, -71.0, 37.0, -75.0, -70.0, 42.0, -73.0, -68.0, 91.0, -54.0, -92.0, 39.0, -74.0, -69.0, 42.0, -73.0, -68.0, 91.0, -54.0, -92.0, 91.0, -54.0, -92.0, 37.0, -75.0, -70.0, 39.0, -74.0, -69.0, 100.0, -42.0, -92.0, 100.0, -43.0, -92.0, 73.0, -61.0, -92.0, 55.0, -68.0, -92.0, 68.0, -63.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:47
49.0, -61.0, 0.0, 52.0, -58.0, 0.0, 69.0, -41.0, 0.0, 54.0, -56.0, 0.0, 37.0, -73.0, 0.0, 22.0, -88.0, 0.0, 33.0, -77.0, 0.0, 43.0, -67.0, 0.0, 33.0, -77.0, 0.0, 34.0, -76.0, 0.0, 43.0, -67.0, 0.0, 40.0, -70.0, 0.0, 0.0, 0.0, 0.0, 36.0, -74.0, 0.0, 60.0, -50.0, 0.0, 51.0, -59.0, 0.0, 41.0, -69.0, 0.0, 49.0, -61.0, 0.0, 33.0, -77.0, 0.0, 70.0, -62.0, -92.0, 100.0, -46.0, -92.0, 100.0, -36.0, -92.0, 96.0, -52.0, -92.0, 42.0, -73.0, -68.0, 37.0, -75.0, -70.0, 57.0, -67.0, -92.0, 89.0, -55.0, -92.0, 42.0, -73.0, -68.0, 57.0, -67.0, -92.0, 94.0, -53.0, -92.0, 89.0, -55.0, -92.0, 37.0, -75.0, -70.0, 63.0, -65.0, -92.0, 100.0, -42.0, -92.0, 100.0, -41.0, -92.0, 78.0, -59.0, -92.0, 57.0, -67.0, -92.0, 76.0, -60.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:50
49.0, -61.0, 0.0, 54.0, -56.0, 0.0, 69.0, -41.0, 0.0, 57.0, -53.0, 0.0, 29.0, -81.0, 0.0, 22.0, -88.0, 0.0, 36.0, -74.0, 0.0, 44.0, -66.0, 0.0, 33.0, -77.0, 0.0, 35.0, -75.0, 0.0, 44.0, -66.0, 0.0, 47.0, -63.0, 0.0, 0.0, 0.0, 0.0, 36.0, -74.0, 0.0, 60.0, -50.0, 0.0, 51.0, -59.0, 0.0, 37.0, -73.0, 0.0, 51.0, -59.0, 0.0, 32.0, -78.0, 0.0, 70.0, -62.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 100.0, -50.0, -92.0, 42.0, -73.0, -68.0, 37.0, -75.0, -70.0, 60.0, -66.0, -92.0, 94.0, -53.0, -92.0, 39.0, -74.0, -69.0, 63.0, -65.0, -92.0, 91.0, -54.0, -92.0, 91.0, -54.0, -92.0, 37.0, -75.0, -70.0, 63.0, -65.0, -92.0, 100.0, -42.0, -92.0, 100.0, -44.0, -92.0, 81.0, -58.0, -92.0, 57.0, -67.0, -92.0, 73.0, -61.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:52
48.0, -62.0, 0.0, 55.0, -55.0, 0.0, 65.0, -45.0, 0.0, 56.0, -54.0, 0.0, 32.0, -78.0, 0.0, 22.0, -88.0, 0.0, 36.0, -74.0, 0.0, 39.0, -71.0, 0.0, 27.0, -83.0, 0.0, 30.0, -80.0, 0.0, 39.0, -71.0, 0.0, 43.0, -67.0, 0.0, 0.0, 0.0, 0.0, 32.0, -78.0, 0.0, 60.0, -50.0, 0.0, 53.0, -57.0, 0.0, 37.0, -73.0, 0.0, 49.0, -61.0, 0.0, 32.0, -78.0, 0.0, 78.0, -59.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 99.0, -51.0, -92.0, 37.0, -75.0, -70.0, 37.0, -75.0, -70.0, 44.0, -72.0, -67.0, 94.0, -53.0, -92.0, 39.0, -74.0, -69.0, 44.0, -72.0, -67.0, 94.0, -53.0, -92.0, 86.0, -56.0, -92.0, 29.0, -78.0, -73.0, 42.0, -73.0, -68.0, 100.0, -42.0, -92.0, 100.0, -42.0, -92.0, 78.0, -59.0, -92.0, 60.0, -66.0, -92.0, 76.0, -60.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:54
50.0, -60.0, 0.0, 54.0, -56.0, 0.0, 69.0, -41.0, 0.0, 58.0, -52.0, 0.0, 32.0, -78.0, 0.0, 22.0, -88.0, 0.0, 38.0, -72.0, 0.0, 45.0, -65.0, 0.0, 33.0, -77.0, 0.0, 30.0, -80.0, 0.0, 46.0, -64.0, 0.0, 44.0, -66.0, 0.0, 0.0, 0.0, 0.0, 37.0, -73.0, 0.0, 59.0, -51.0, 0.0, 54.0, -56.0, 0.0, 37.0, -73.0, 0.0, 48.0, -62.0, 0.0, 32.0, -78.0, 0.0, 76.0, -60.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 99.0, -51.0, -92.0, 76.0, -60.0, -92.0, 26.0, -79.0, -74.0, 60.0, -66.0, -92.0, 94.0, -53.0, -92.0, 76.0, -60.0, -92.0, 60.0, -66.0, -92.0, 94.0, -53.0, -92.0, 91.0, -54.0, -92.0, 29.0, -78.0, -73.0, 60.0, -66.0, -92.0, 100.0, -42.0, -92.0, 100.0, -45.0, -92.0, 81.0, -58.0, -92.0, 57.0, -67.0, -92.0, 76.0, -60.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:56
47.0, -63.0, 0.0, 53.0, -57.0, 0.0, 68.0, -42.0, 0.0, 57.0, -53.0, 0.0, 32.0, -78.0, 0.0, 22.0, -88.0, 0.0, 37.0, -73.0, 0.0, 45.0, -65.0, 0.0, 33.0, -77.0, 0.0, 35.0, -75.0, 0.0, 43.0, -67.0, 0.0, 41.0, -69.0, 0.0, 0.0, 0.0, 0.0, 33.0, -77.0, 0.0, 59.0, -51.0, 0.0, 55.0, -55.0, 0.0, 37.0, -73.0, 0.0, 48.0, -62.0, 0.0, 34.0, -76.0, 0.0, 73.0, -61.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 100.0, -49.0, -92.0, 78.0, -59.0, -92.0, 42.0, -73.0, -68.0, 63.0, -65.0, -92.0, 94.0, -53.0, -92.0, 44.0, -72.0, -67.0, 60.0, -66.0, -92.0, 94.0, -53.0, -92.0, 91.0, -54.0, -92.0, 31.0, -77.0, -72.0, 60.0, -66.0, -92.0, 100.0, -42.0, -92.0, 100.0, -41.0, -92.0, 76.0, -60.0, -92.0, 63.0, -65.0, -92.0, 73.0, -61.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 08:59:58
48.0, -62.0, 0.0, 52.0, -58.0, 0.0, 69.0, -41.0, 0.0, 57.0, -53.0, 0.0, 31.0, -79.0, 0.0, 22.0, -88.0, 0.0, 35.0, -75.0, 0.0, 42.0, -68.0, 0.0, 33.0, -77.0, 0.0, 36.0, -74.0, 0.0, 43.0, -67.0, 0.0, 45.0, -65.0, 0.0, 22.0, -88.0, 0.0, 36.0, -74.0, 0.0, 60.0, -50.0, 0.0, 55.0, -55.0, 0.0, 37.0, -73.0, 0.0, 49.0, -61.0, 0.0, 34.0, -76.0, 0.0, 76.0, -60.0, -92.0, 100.0, -47.0, -92.0, 100.0, -35.0, -92.0, 100.0, -50.0, -92.0, 47.0, -71.0, -66.0, 24.0, -80.0, -75.0, 42.0, -73.0, -68.0, 91.0, -54.0, -92.0, 47.0, -71.0, -66.0, 39.0, -74.0, -69.0, 91.0, -54.0, -92.0, 89.0, -55.0, -92.0, 39.0, -74.0, -69.0, 39.0, -74.0, -69.0, 86.0, -56.0, -92.0, 100.0, -44.0, -92.0, 78.0, -59.0, -92.0, 63.0, -65.0, -92.0, 73.0, -61.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 09:00:00
52.0, -58.0, 0.0, 54.0, -56.0, 0.0, 65.0, -45.0, 0.0, 57.0, -53.0, 0.0, 31.0, -79.0, 0.0, 23.0, -87.0, 0.0, 35.0, -75.0, 0.0, 51.0, -59.0, 0.0, 33.0, -77.0, 0.0, 35.0, -75.0, 0.0, 46.0, -64.0, 0.0, 45.0, -65.0, 0.0, 22.0, -88.0, 0.0, 36.0, -74.0, 0.0, 60.0, -50.0, 0.0, 55.0, -55.0, 0.0, 44.0, -66.0, 0.0, 49.0, -61.0, 0.0, 34.0, -76.0, 0.0, 76.0, -60.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 100.0, -50.0, -92.0, 70.0, -62.0, -92.0, 39.0, -74.0, -69.0, 60.0, -66.0, -92.0, 91.0, -54.0, -92.0, 76.0, -60.0, -92.0, 60.0, -66.0, -92.0, 91.0, -54.0, -92.0, 91.0, -54.0, -92.0, 37.0, -75.0, -70.0, 60.0, -66.0, -92.0, 100.0, -42.0, -92.0, 100.0, -40.0, -92.0, 81.0, -58.0, -92.0, 57.0, -67.0, -92.0, 65.0, -64.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 09:00:03
50.0, -60.0, 0.0, 56.0, -54.0, 0.0, 68.0, -42.0, 0.0, 57.0, -53.0, 0.0, 31.0, -79.0, 0.0, 29.0, -81.0, 0.0, 25.0, -85.0, 0.0, 51.0, -59.0, 0.0, 33.0, -77.0, 0.0, 37.0, -73.0, 0.0, 26.0, -84.0, 0.0, 46.0, -64.0, 0.0, 22.0, -88.0, 0.0, 36.0, -74.0, 0.0, 60.0, -50.0, 0.0, 52.0, -58.0, 0.0, 42.0, -68.0, 0.0, 52.0, -58.0, 0.0, 34.0, -76.0, 0.0, 63.0, -65.0, -92.0, 100.0, -47.0, -92.0, 100.0, -36.0, -92.0, 100.0, -49.0, -92.0, 31.0, -77.0, -72.0, 39.0, -74.0, -69.0, 44.0, -72.0, -67.0, 94.0, -53.0, -92.0, 76.0, -60.0, -92.0, 55.0, -68.0, -92.0, 94.0, -53.0, -92.0, 94.0, -53.0, -92.0, 37.0, -75.0, -70.0, 65.0, -64.0, -92.0, 100.0, -42.0, -92.0, 100.0, -41.0, -92.0, 76.0, -60.0, -92.0, 63.0, -65.0, -92.0, 65.0, -64.0, -92.0, 598.0, 763.0, 20.0, 2018-05-01 09:00:05
